지역별1,지역별2,지역별3,상품군별1,상품군별2,판매유형별1,2019년 1분기,2019년 2분기,2019년 3분기,2019년 4분기,2020년 1분기,2020년 2분기,2020년 3분기,2020년 4분기,2021년 1분기,2021년 2분기,2021년 3분기,2021년 4분기,2022년 1분기,2022년 2분기,2022년 3분기,2022년 4분기,2023년 1분기,2023년 2분기,2023년 3분기
합계,소계,소계,음반·비디오·악기,소계,계,15193,23557,23784,26899,33208,45802,57462,77371,45259,49336,39827,42753,33512,50150,44072,41097,29374,47929,40025
합계,소계,소계,음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
합계,소계,소계,음반·비디오·악기,소계,면세점 이외,15193,23557,23784,26899,33208,45802,57462,77371,45259,49336,39827,42753,33512,50150,44072,41097,29374,47929,40025
합계,소계,소계,의류 및 패션 관련 상품,소계,계,125969,146698,141668,151505,88543,90629,87230,100095,83236,91319,89544,101807,75954,76116,61879,82176,55579,65070,62563
합계,소계,소계,의류 및 패션 관련 상품,소계,면세점,47046,69090,72555,74266,26073,1058,3026,8033,6190,4854,9182,7883,2497,2876,2272,4816,3268,13393,15526
합계,소계,소계,의류 및 패션 관련 상품,소계,면세점 이외,78923,77608,69113,77239,62470,91687,84204,92062,77046,86465,80362,93924,73457,73240,59607,77360,52311,51677,47037
아시아,소계,소계,음반·비디오·악기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21860,33582,21745
아시아,소계,소계,음반·비디오·악기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
아시아,소계,소계,음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21860,33582,21745
아시아,소계,소계,의류 및 패션 관련 상품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34203,41564,39709
아시아,소계,소계,의류 및 패션 관련 상품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3213,13305,15379
아시아,소계,소계,의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30990,28259,24330
아시아,중국,소계,음반·비디오·악기,소계,계,3447,9077,10470,13199,18103,26697,32589,47689,13339,18993,12679,17863,16443,27632,27817,21995,17415,22768,17158
아시아,중국,소계,음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아,중국,소계,음반·비디오·악기,소계,면세점 이외,3447,9077,10470,13199,18103,26697,32589,47689,13339,18993,12679,17863,16443,27632,27817,21995,17415,22768,17158
아시아,중국,소계,의류 및 패션 관련 상품,소계,계,66854,86183,85684,91546,39860,17438,20635,28413,22905,21630,22271,24964,13650,12628,9391,15098,12099,21665,22112
아시아,중국,소계,의류 및 패션 관련 상품,소계,면세점,45109,66495,69469,71350,24617,1059,2967,6753,6132,4803,9054,7703,2211,2314,1812,4503,2936,12894,14947
아시아,중국,소계,의류 및 패션 관련 상품,소계,면세점 이외,21745,19688,16215,20196,15243,18497,17668,21660,16773,16827,13217,17261,11439,10314,7579,10595,9163,8771,7165
아시아,일본,소계,음반·비디오·악기,소계,계,2433,1632,2592,2055,2341,2829,4522,5046,3905,3575,4303,4157,3312,3512,3646,7202,2315,10196,4109
아시아,일본,소계,음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아,일본,소계,음반·비디오·악기,소계,면세점 이외,2433,1632,2592,2055,2341,2829,4522,5046,3905,3575,4303,4157,3312,3512,3646,7202,2315,10196,4109
아시아,일본,소계,의류 및 패션 관련 상품,소계,계,36739,35529,31897,30472,23194,33957,29967,32413,25776,31239,28172,33780,26977,25238,18788,26942,15593,12455,10655
아시아,일본,소계,의류 및 패션 관련 상품,소계,면세점,569,808,851,871,76,3,1,1,3,1,1,3,2,20,79,77,27,126,111
아시아,일본,소계,의류 및 패션 관련 상품,소계,면세점 이외,36170,34721,31046,29601,23118,33954,29968,32412,25773,31238,28171,33777,26975,25218,18709,26865,15566,12329,10544
아시아,아세안,소계,음반·비디오·악기,소계,계,1524,2546,1689,1875,2437,3436,4189,6073,7049,4490,4000,4256,2765,5277,2550,2528,2035,573,142
아시아,아세안,소계,음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아,아세안,소계,음반·비디오·악기,소계,면세점 이외,1524,2546,1689,1875,2437,3436,4189,6073,7049,4490,4000,4256,2765,5277,2550,2528,2035,573,142
아시아,아세안,소계,의류 및 패션 관련 상품,소계,계,6537,7278,7768,9664,9830,10862,9787,8860,7983,7131,8619,7816,8506,7493,9113,9854,6304,7174,6706
아시아,아세안,소계,의류 및 패션 관련 상품,소계,면세점,988,1346,1868,1625,1296,13,34,30,33,35,35,76,142,219,311,174,250,285,216
아시아,아세안,소계,의류 및 패션 관련 상품,소계,면세점 이외,5549,5932,5900,8039,8534,10875,9753,8830,7950,7096,8584,7740,8364,7274,8802,9680,6054,6889,6490
아시아,중동,소계,음반·비디오·악기,소계,계,206,314,227,360,496,710,870,1174,326,352,367,311,211,353,245,129,95,45,336
아시아,중동,소계,음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아,중동,소계,음반·비디오·악기,소계,면세점 이외,206,314,227,360,496,710,870,1174,326,352,367,311,211,353,245,129,95,45,336
아시아,중동,소계,의류 및 패션 관련 상품,소계,계,210,321,169,251,259,553,559,405,412,358,419,273,184,252,152,125,80,89,83
아시아,중동,소계,의류 및 패션 관련 상품,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아,중동,소계,의류 및 패션 관련 상품,소계,면세점 이외,210,321,169,251,259,553,559,405,412,358,419,273,184,252,152,125,80,89,83
아시아,기타 아시아,소계,음반·비디오·악기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
아시아,기타 아시아,소계,음반·비디오·악기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
아시아,기타 아시아,소계,음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
아시아,기타 아시아,소계,의류 및 패션 관련 상품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,181,153
아시아,기타 아시아,소계,의류 및 패션 관련 상품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,105
아시아,기타 아시아,소계,의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,181,48
북미,소계,소계,음반·비디오·악기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6364,9770,7295
북미,소계,소계,음반·비디오·악기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
북미,소계,소계,음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6364,9770,7295
북미,소계,소계,의류 및 패션 관련 상품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19545,21176,20839
북미,소계,소계,의류 및 패션 관련 상품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,50,100
북미,소계,소계,의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19519,21126,20739
북미,미국,소계,음반·비디오·악기,소계,계,3857,5191,5762,4786,5258,7516,9854,10291,12041,9541,10170,10089,7316,8198,7185,6850,6050,9672,7294
북미,미국,소계,음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북미,미국,소계,음반·비디오·악기,소계,면세점 이외,3857,5191,5762,4786,5258,7516,9854,10291,12041,9541,10170,10089,7316,8198,7185,6850,6050,9672,7294
북미,미국,소계,의류 및 패션 관련 상품,소계,계,12324,13683,13368,16161,12779,23149,22002,24277,21317,24814,24861,29729,21271,24333,20933,26685,19074,20953,20366
북미,미국,소계,의류 및 패션 관련 상품,소계,면세점,110,115,95,91,36,5,22,0,14,10,14,21,6,32,38,40,25,49,97
북미,미국,소계,의류 및 패션 관련 상품,소계,면세점 이외,12214,13568,13273,16070,12743,23154,21980,24277,21303,24804,24847,29708,21265,24301,20895,26645,19049,20904,20269
북미,캐나다,소계,음반·비디오·악기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314,98,1
북미,캐나다,소계,음반·비디오·악기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
