상품군별(1),상품군별(2),판매매체별(1),2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09 p),2023.10 p)
합계,소계,계,10811796,9666871,11296239,10763785,11374817,10725166,11302975,11418155,11397646,12008033,12991605,12843750,12098574,11884677,12439142,11913275,12552441,12508478,12845894,13415501,13818699,13856877,14978279,15972133,15005394,13740166,15809617,14950574,15877834,15419962,15927254,15533474,15926493,16685954,17298059,18048329,16855778,15749201,17608132,16844576,17710119,17104747,17332551,18008583,17358050,17970891,18438854,18897567,18042084,17041993,18630111,17800541,19248111,18468211,18836956,19076689,19022051,20090523
,,인터넷쇼핑,3994468,3465165,4207216,4047525,4192050,3835061,4065650,4075273,4106183,4255196,4532075,4461119,3817529,3681611,3944168,3858165,3862018,4034712,4023902,4021483,4220154,4175701,4637678,4619202,4154948,3755863,4584525,4117439,4400375,4452474,4218060,4068287,4221087,4321111,4674470,4546316,4076547,3718835,4468658,4256805,4534153,4396396,4165776,4576102,4459667,4592906,4841294,4890347,4494303,4426451,4939686,4667314,4965062,5004566,4784871,4958066,5260953,5374717
,,모바일쇼핑,6817328,6201706,7089023,6716261,7182767,6890105,7237325,7342882,7291464,7752837,8459530,8382632,8281045,8203066,8494974,8055111,8690424,8473766,8821992,9394018,9598544,9681175,10340600,11352931,10850445,9984303,11225092,10833135,11477459,10967488,11709194,11465187,11705406,12364843,12623590,13502013,12779231,12030366,13139474,12587771,13175966,12708350,13166775,13432481,12898383,13377985,13597559,14007219,13547781,12615542,13690425,13133227,14283049,13463646,14052085,14118623,13761098,14715806
컴퓨터 및 주변기기,소계,계,561512,542469,532496,469169,440108,389195,443122,447965,435676,445118,528007,554877,606270,674827,759258,719961,614228,584489,627477,655302,711784,615848,736314,915378,886377,849681,871089,732751,728700,663578,751062,774229,736291,729530,832499,961286,858304,944299,896370,715626,732892,636824,697636,724630,686982,670787,799034,760540,786027,888101,864298,678141,711627,640342,676331,676043,645138,637736
,,인터넷쇼핑,329496,305306,313340,279362,263783,240539,271299,269744,261053,274936,306368,339917,332810,358997,401374,388215,323924,328080,342726,340705,379361,339603,394626,499998,439730,413960,448924,385886,358402,358087,398976,405435,361370,389970,440303,504938,427438,443423,437802,360046,359035,328113,352418,356583,338316,343365,395502,410526,375263,422418,436274,347227,341731,327356,338893,335109,318000,326090
,,모바일쇼핑,232016,237163,219156,189807,176325,148657,171823,178221,174623,170182,221639,214960,273459,315829,357883,331746,290304,256409,284750,314597,332423,276244,341688,415380,446647,435721,422166,346865,370299,305492,352086,368794,374921,339560,392196,456349,430866,500876,458567,355580,373856,308711,345217,368047,348666,327422,403531,350014,410764,465683,428024,330914,369896,312986,337438,340934,327138,311646
가전·전자·통신기기,소계,계,1063081,982059,1324884,1134227,1296165,1177804,1230419,1198465,1096363,1200192,1357353,1213392,1063030,1250751,1298534,1246750,1516238,1459321,1319735,1536013,1311734,1535090,1824791,1716654,1747595,1494087,1665078,1523437,1694043,1635537,1914546,1665114,1570949,2024371,1999871,1759395,1644651,1797470,1654737,1549535,1711041,1676842,1766945,1781323,1632592,2068685,1849683,1707501,1657726,1742480,1569640,1490064,1781401,1695871,1781843,1828594,1475016,2165109
,,인터넷쇼핑,451529,403124,568865,523731,577082,488946,522133,511230,462355,525905,568012,518944,400922,494994,518520,507840,588332,553380,502863,548239,462687,547418,663471,611410,610054,512864,612790,546939,575594,563485,658089,576436,514785,661197,645257,637081,537365,595172,597036,550643,572929,540708,556737,577426,468262,646950,574635,547084,492754,535604,487488,461195,531916,509672,518886,552182,428928,638335
,,모바일쇼핑,611551,578935,756020,610496,719082,688858,708286,687235,634009,674287,789341,694448,662108,755756,780014,738910,927906,905941,816872,987774,849047,987672,1161320,1105244,1137541,981223,1052288,976497,1118449,1072052,1256457,1088677,1056165,1363174,1354614,1122314,1107286,1202298,1057701,998893,1138112,1136134,1210209,1203898,1164330,1421735,1275048,1160417,1164972,1206876,1082152,1028869,1249485,1186199,1262956,1276412,1046087,1526774
